,k8s-master,k8s-node01,k8s-node02
10,"1.070799313432836,4.219979555519308","0.4017898457711443,2.5228187684374617","0.6463806417910449,2.5887163252215286"
20,"2.033484572139303,4.4481008023440864","0.3906471641791045,2.522872761781837","0.7695524527363184,2.591325081538457"
30,"1.4522779651741293,4.454985020402648","0.3780931691542288,2.5225285542114437","0.7010424129353233,2.5884594022509217"
40,"1.4522779651741293,4.454985020402648","0.3780931691542288,2.5225285542114437","0.7010424129353233,2.5884594022509217"
50,"1.1477816268656718,4.4557953159253305","0.40778453731343284,2.5215499248446394","0.7350605771144278,2.588960072655181"
60,"2.7175478059701494,4.548656500378434","0.418805432835821,2.5220763599522997","0.6687244527363183,2.5896913149561382"
70,"2.7175478059701494,4.548656500378434","0.418805432835821,2.5220763599522997","0.6687244527363183,2.5896913149561382"
80,"1.183597184079602,4.560837284292579","0.768222736318408,2.542614078319101","1.8271668955223879,2.629257452429559"
90,"1.189225895522388,4.566219491138364","0.43000471144278607,2.544206881978176","6.183823781094527,2.736815948355057"
100,"1.189225895522388,4.566219491138364","0.43000471144278607,2.544206881978176","6.183823781094527,2.736815948355057"
110,"1.0407794825870647,4.565534363216747","9.98735595522388,2.6460990719826443","10.78339180597015,3.4884012783696483"
120,"0.9449688159203979,4.565705645197151","10.349261552238806,2.646719995442962","15.044145860696517,3.9374894554530813"
130,"0.9449688159203979,4.565705645197151","10.349261552238806,2.646719995442962","15.044145860696517,3.9374894554530813"
140,"2.386592343283582,4.615054618859055","10.553366348258706,3.571470753728865","20.836946109452736,5.296071772947026"
150,"10.875793407960199,4.7607233554245365","11.84328865671642,4.657175671597901","20.59845710447761,5.8655316556439026"
160,"10.875793407960199,4.7607233554245365","11.84328865671642,4.657175671597901","20.59845710447761,5.8655316556439026"
170,"10.259232741293532,4.7590961766106945","22.19837565671642,11.120570445082661","20.77362856716418,7.316876341063794"
180,"10.70810952238806,4.7600382275029185","20.251064323383083,11.595144945470434","20.7905926119403,8.075866322846638"
190,"10.70810952238806,4.7600382275029185","20.251064323383083,11.595144945470434","20.7905926119403,8.075866322846638"
200,"10.828426139303485,5.518929392758606","25.737051009950246,13.16389456962614","20.716627626865673,9.302574690966134"
210,"10.950582945273629,6.046616235542237","31.691153731343288,14.219214732947906","21.468773741293532,10.132277779582095"
220,"10.950582945273629,6.046616235542237","31.691153731343288,14.219214732947906","21.468773741293532,10.132277779582095"
230,"10.787543990049752,7.13717519254565","31.962231671641796,20.69151840825461","20.816566746268656,11.492441161510541"
240,"10.843751393034823,7.672747594196361","33.70450387064677,25.507852960735164","18.7763183880597,11.912655149358875"
250,"10.843751393034823,7.672747594196361","33.70450387064677,25.507852960735164","18.7763183880597,11.912655149358875"
260,"10.756663029850747,8.821621477759003","47.82823211442786,27.75196483467474","30.523343945273634,13.116925578045391"
270,"10.868297716417912,9.343175108090458","50.22753449751244,28.78850206332191","30.510941009950248,13.536105286242822"
280,"10.868297716417912,9.343175108090458","50.22753449751244,28.78850206332191","30.510941009950248,13.536105286242822"
290,"12.709698975124377,14.690967451351142","50.53496400497512,30.78619506270011","31.087742636815918,14.4085102901273"
300,"10.82329684079602,14.974208557023758","50.587471666666666,31.451953246353206","30.617365641791046,14.826049643973935"
310,"10.82329684079602,14.974208557023758","50.587471666666666,31.451953246353206","30.617365641791046,14.826049643973935"
320,"13.5375144079602,15.127888020057384","50.089123278606955,31.82555344359089","30.80335848756219,15.674982428774529"
330,"20.619552283582088,15.128204232944285","50.58087853233832,31.82647807961332","30.544849935323388,16.003026947859855"
340,"20.619552283582088,15.128204232944285","50.58087853233832,31.82647807961332","30.544849935323388,16.003026947859855"
350,"20.865259288557212,15.15348150059089","58.52795729353234,33.195742543805984","40.72182802985075,19.27929549349863"
360,"20.6799052238806,15.154133689670122","65.52421480099503,39.11867743842886","40.49256525373134,19.87367690434435"
370,"22.96757786069652,20.76198478133253","60.04425204477612,39.97304112315335","48.9940116119403,25.759716283257443"
380,"22.96757786069652,20.76198478133253","60.04425204477612,39.97304112315335","48.9940116119403,25.759716283257443"
390,"20.68788406467662,20.760891211765333","60.65936758706468,40.24615295734033","50.367713552238804,25.76691012643443"
400,"27.676545273631845,20.861749947149626","68.64496145273631,40.98409349325532","50.21809212935323,25.769347600770953"
410,"27.676545273631845,20.861749947149626","68.64496145273631,40.98409349325532","50.21809212935323,25.769347600770953"
420,"30.48518983084577,20.864002963968794","71.55401842288558,41.58494492780111","51.296154393034826,25.781838009803522"
430,"30.82355342288557,20.86367357554494","72.2622558159204,43.8927554497676","52.95231829850747,31.97036136611082"
440,"30.82355342288557,20.86367357554494","72.2622558159204,43.8927554497676","52.95231829850747,31.97036136611082"
450,"30.634190696517415,20.86265247143099","75.24094084577114,51.94461416727314","50.30587367164179,31.967153122862474"
460,"30.673632228855723,20.863746040998187","80.63287035820896,52.12883945828207","57.86120696517413,32.12990394308906"
470,"30.673632228855723,20.863746040998187","80.63287035820896,52.12883945828207","57.86120696517413,32.12990394308906"
480,"30.677892358208954,20.863825094219912","82.48678622885572,52.112007033173036","60.555289810945276,28.458580097415968"
490,"29.489784791044773,20.86750106903013","80.56309586567164,52.13425904022376","60.36199891044776,33.95519013057418"
500,"29.489784791044773,20.86750106903013","80.56309586567164,52.13425904022376","60.36199891044776,33.95519013057418"
510,"30.778004000000003,20.860280874779235","80.00715414925374,52.13612855977276","70.03508137313432,34.102538748101324"
520,"30.788057358208956,20.860168882715126","82.97525605472636,52.213899223177506","78.63646396019901,34.29780679353084"
530,"30.788057358208956,20.860168882715126","82.97525605472636,52.213899223177506","78.63646396019901,34.29780679353084"
540,"30.469587810945278,20.860755194109586","90.57893193532337,52.56235876944039","80.03491239303483,34.7097597197089"
550,"31.211205885572145,20.887020627027756","90.73876317412935,54.73218929985548","80.47213556218905,36.08120794903861"
560,"31.211205885572145,20.887020627027756","90.73876317412935,54.73218929985548","80.47213556218905,36.08120794903861"
570,"36.78750648756219,21.04779511671121","94.37053915920399,59.123333014547626","80.66108327363183,36.69603120546874"
580,"40.042326353233825,21.08482496332095","84.69751021393034,60.088868995341116","86.74310802985076,41.889136157118806"
590,"40.042326353233825,21.08482496332095","84.69751021393034,60.088868995341116","86.74310802985076,41.889136157118806"
600,"40.55262182089552,21.08487766546877","94.28417510945273,61.56667358006447","90.51677456716418,42.534039164415354"
610,"40.77976648756219,22.90044689445018","101.69595382587066,61.54828884630464","90.75355995522386,43.51193410492352"
620,"40.77976648756219,22.90044689445018","101.69595382587066,61.54828884630464","90.75355995522386,43.51193410492352"
630,"41.80876983084577,23.696400845157992","100.29993733830847,61.575299016828446","80.52082714925373,43.89598783160109"
640,"43.50292197014925,25.492944598777562","101.66740200995025,61.57588619444853","79.92100187562188,44.133457121894864"
650,"43.50292197014925,25.492944598777562","101.66740200995025,61.57588619444853","79.92100187562188,44.133457121894864"
660,"50.40463262686567,26.244002907313984","103.00102033830845,56.82709731578163","87.12002229850746,47.663486509271266"
670,"50.474288547263676,26.710001886078114","103.70886450746266,50.10741638405088","89.7231233681592,44.19940727211904"
680,"50.474288547263676,26.710001886078114","103.70886450746266,50.10741638405088","89.7231233681592,44.19940727211904"
690,"50.728052353233835,27.478629773142945","99.24014198507463,52.72820607585754","85.5015305522388,44.23473747446169"
700,"50.02172175124379,28.886738934047674","104.54260200497511,54.402033497335864","76.55568882587065,44.25994227665505"
710,"50.02172175124379,28.886738934047674","104.54260200497511,54.402033497335864","76.55568882587065,44.25994227665505"
720,"50.89569311442786,29.594087398738587","103.67192761691543,55.86997754754266","81.15348375124378,44.26998862358262"
730,"50.26044482089552,30.872397757339154","105.25989711442786,55.94333425504472","90.08908955721392,46.41915586047554"
740,"50.26044482089552,30.872397757339154","105.25989711442786,55.94333425504472","90.08908955721392,46.41915586047554"
750,"50.538145452736316,30.863603086422234","105.21631014427861,57.855609783621","89.81300331343284,47.238470038203126"
760,"48.39681314925374,30.890790806927196","95.97323769154228,60.995417247404454","90.55626955721392,48.04312643106918"
770,"48.39681314925374,30.890790806927196","95.97323769154228,60.995417247404454","90.55626955721392,48.04312643106918"
780,"55.19736665671641,30.970127302696827","104.95331863681591,67.88089149220798","88.6257835522388,48.30452908424023"
790,"59.77199126368159,30.991754946607124","107.81646242288558,69.94373421074317","80.29133103980101,49.38362532409351"
800,"59.77199126368159,30.991754946607124","107.81646242288558,69.94373421074317","80.29133103980101,49.38362532409351"
810,"61.07896145273632,31.78554810925445","98.60224495024876,64.2939853911558","81.09198129353234,49.608406572300396"
820,"60.37749030348259,33.591861523525544","106.29530321393034,64.82367359781477","86.00092556716417,53.34826297344069"
830,"60.37749030348259,33.591861523525544","106.29530321393034,64.82367359781477","86.00092556716417,53.34826297344069"
840,"62.506816512437815,34.50735053325021","104.10790534825871,64.92213721045141","90.2874594676617,53.34113500794847"
850,"72.4393640995025,41.52096554023951","104.93834544278607,64.92016645338171","91.93375474626866,57.2420886994276"
860,"72.4393640995025,41.52096554023951","104.93834544278607,64.92016645338171","91.93375474626866,57.2420886994276"
870,"71.17497749253731,42.522293173220696","105.62942641791044,64.924377934243","90.84918635820895,58.82823889119424"
880,"72.54428737313432,44.08739544470303","97.44638416417911,59.01610223261804","82.85813960199005,58.822290136259426"
890,"72.54428737313432,44.08739544470303","97.44638416417911,59.01610223261804","82.85813960199005,58.822290136259426"
900,"79.17620848756219,44.711929071868404","105.26423381094527,58.99297958288927","100.43557415920398,58.98428995087962"
910,"83.85810520398012,46.52993577518634","103.43659628358209,55.82516307171106","98.92153739800995,58.79483890501538"
920,"83.85810520398012,46.52993577518634","103.43659628358209,55.82516307171106","98.92153739800995,58.79483890501538"
930,"81.06826843781094,50.640314626552254","105.4344286318408,55.63523473370246","90.37345200000001,52.8697142957277"
940,"90.77713801990049,50.64014334457185","105.05838148258708,55.817846973548185","89.92780908955223,52.869253151934295"
950,"90.77713801990049,50.64014334457185","105.05838148258708,55.817846973548185","89.92780908955223,52.869253151934295"
960,"90.01399101990049,50.65368779656075","106.71800657711444,51.60935599371005","90.39360319402985,52.86819910897796"
970,"90.60404546268656,50.6396097353252","100.76802002985076,55.711061636709694","90.80444008955224,47.57609317265415"
980,"90.60404546268656,50.6396097353252","100.76802002985076,55.711061636709694","90.80444008955224,47.57609317265415"
990,"90.62447909452736,48.538664963684596","105.96469215422884,55.713552079719015","97.85473438308459,51.23143509200181"
1000,"83.79216253233831,52.216201075031584","105.29686372139304,55.713039142947444","92.65138676119403,51.2412442792642"
1010,"83.79216253233831,52.216201075031584","105.29686372139304,55.713039142947444","92.65138676119403,51.2412442792642"
1020,"82.67406953731343,52.28060309966365","104.94181461691544,49.51640523651751","100.44514359701495,52.16191786278034"
1030,"90.75819488059702,52.33993913033682","104.9472532238806,49.473467029402954","101.97868007462687,53.73987945832996"
1040,"90.75819488059702,52.33993913033682","104.9472532238806,49.473467029402954","101.97868007462687,53.73987945832996"
1050,"86.23413289054726,52.33947798654343","105.78605083582089,49.474918100533046","104.81897393034826,56.769396547890736"
1060,"90.43280283084577,52.38750940650991","99.80968432835822,49.46532753273836","106.30197854228855,57.927789756902776"
1070,"90.17806529850746,52.388299938727165","104.85258676119403,49.4084522936069","102.37612761691543,68.39038483569479"
1080,"90.17806529850746,52.388299938727165","104.85258676119403,49.4084522936069","102.37612761691543,68.39038483569479"
1090,"90.98705900497514,52.38631702041556","105.39229170646766,49.34000223127496","93.0071973283582,68.45390409935092"
1100,"90.98705900497514,52.38631702041556","105.39229170646766,49.34000223127496","93.0071973283582,68.45390409935092"
1110,"82.9160624875622,52.18687891754004","105.27150595024874,49.34017770964417","93.44826300995024,69.90165186318232"
1120,"81.28363854228856,48.05214508611432","104.918001,49.33788974167627","104.24345873134328,71.06252866091023"
1130,"80.54673748258706,48.052744573045736","105.01070217910447,49.33501459608828","105.72082715422886,74.03285465070432"
1140,"80.54673748258706,48.052744573045736","105.01070217910447,49.33501459608828","105.72082715422886,74.03285465070432"
1150,"79.41531787562188,48.051051516547126","104.82072105970148,49.33501459608828","106.25124034328358,75.63727272445796"
1160,"83.18552754726367,52.61453049599902","105.02547467661691,43.8607846407293","99.92729146268657,78.70246916809067"
1170,"83.18552754726367,52.61453049599902","105.02547467661691,43.8607846407293","99.92729146268657,78.70246916809067"
1180,"89.77537846268655,53.58181254149059","104.94989265671641,43.889900551683745","106.84155011940298,80.78645043590276"
1190,"89.6335763482587,54.30787685642492","96.1702584676617,40.15848126441074","101.93485519402985,82.21429655116486"
1200,"89.6335763482587,54.30787685642492","96.1702584676617,40.15848126441074","101.93485519402985,82.21429655116486"
